Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
100%,None,0,None,None,3 Students rated on-campus housing 3.7 stars. 33 % gave the school a 5.0.,4 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,5 Students rated campus food 3.5 stars. 20 % gave the school a 5.0.,7 Students rated campus facilities 3.8 stars. 14 % gave the school a 5.0.,7 Students rated class size 4.3 stars. 57 % gave the school a 5.0.,7 Students rated school activities 2.7 stars. 0 % gave the school a 5.0.,7 Students rated local services 3.8 stars. 29 % gave the school a 5.0.,7 Students rated academics 4.5 stars. 43 % gave the school a 5.0.,Trinidad State Junior College,,,,
100%,None,0,None,None,,,,,,,,,United Beauty College,None,,,
15%,None,0,1220-1410,27-33,22 Students rated on-campus housing 3.7 stars. 23 % gave the school a 5.0.,7 Students rated off-campus housing 1.6 stars. 0 % gave the school a 5.0.,39 Students rated campus food 2.7 stars. 13 % gave the school a 5.0.,38 Students rated campus facilities 4.2 stars. 47 % gave the school a 5.0.,38 Students rated class size 4.9 stars. 89 % gave the school a 5.0.,38 Students rated school activities 4.6 stars. 68 % gave the school a 5.0.,39 Students rated local services 4.2 stars. 51 % gave the school a 5.0.,38 Students rated academics 4.9 stars. 92 % gave the school a 5.0.,United States Air Force Academy,,,,
76%,None,50,1070-1310,25-30,297 Students rated on-campus housing 3.4 stars. 11 % gave the school a 5.0.,292 Students rated off-campus housing 2.9 stars. 0 % gave the school a 5.0.,334 Students rated campus food 3.4 stars. 16 % gave the school a 5.0.,345 Students rated campus facilities 4.3 stars. 44 % gave the school a 5.0.,346 Students rated class size 3.6 stars. 18 % gave the school a 5.0.,343 Students rated school activities 4.3 stars. 49 % gave the school a 5.0.,344 Students rated local services 4.4 stars. 56 % gave the school a 5.0.,347 Students rated academics 3.9 stars. 36 % gave the school a 5.0.,University of Colorado Boulder,,,,
92%,None,50,940-1190,20-26,121 Students rated on-campus housing 3.7 stars. 21 % gave the school a 5.0.,119 Students rated off-campus housing 3.7 stars. 0 % gave the school a 5.0.,159 Students rated campus food 3.2 stars. 14 % gave the school a 5.0.,173 Students rated campus facilities 4.3 stars. 43 % gave the school a 5.0.,173 Students rated class size 4.2 stars. 46 % gave the school a 5.0.,170 Students rated school activities 3.6 stars. 25 % gave the school a 5.0.,170 Students rated local services 4.1 stars. 42 % gave the school a 5.0.,172 Students rated academics 4.1 stars. 40 % gave the school a 5.0.,University of Colorado Colorado Springs,,,,
60%,None,50,960-1190,21-26,80 Students rated on-campus housing 2.9 stars. 9 % gave the school a 5.0.,84 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,113 Students rated campus food 3.1 stars. 11 % gave the school a 5.0.,124 Students rated campus facilities 4 stars. 31 % gave the school a 5.0.,125 Students rated class size 4 stars. 34 % gave the school a 5.0.,124 Students rated school activities 3.2 stars. 16 % gave the school a 5.0.,125 Students rated local services 4.1 stars. 49 % gave the school a 5.0.,125 Students rated academics 4 stars. 38 % gave the school a 5.0.,University of Colorado Denver/Anschutz Medical Campus,,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,University of Colorado System Office,,,,
53%,None,65,1110-1310,26-31,170 Students rated on-campus housing 4 stars. 26 % gave the school a 5.0.,129 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,187 Students rated campus food 3.2 stars. 12 % gave the school a 5.0.,195 Students rated campus facilities 4.5 stars. 55 % gave the school a 5.0.,195 Students rated class size 4.6 stars. 67 % gave the school a 5.0.,193 Students rated school activities 4.1 stars. 40 % gave the school a 5.0.,196 Students rated local services 4.4 stars. 58 % gave the school a 5.0.,195 Students rated academics 3.9 stars. 36 % gave the school a 5.0.,University of Denver,,,,
90%,None,45,928-1150,19-25,171 Students rated on-campus housing 4 stars. 27 % gave the school a 5.0.,132 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,176 Students rated campus food 3.5 stars. 19 % gave the school a 5.0.,183 Students rated campus facilities 4.2 stars. 39 % gave the school a 5.0.,183 Students rated class size 4.3 stars. 50 % gave the school a 5.0.,182 Students rated school activities 3.9 stars. 33 % gave the school a 5.0.,182 Students rated local services 4 stars. 41 % gave the school a 5.0.,183 Students rated academics 4.1 stars. 40 % gave the school a 5.0.,University of Northern Colorado,,,,
100%,None,0,None,None,,,,,,,,,University of Phoenix-Colorado,None,,,
100%,None,0,None,None,,,,,,,,,University of Phoenix-Colorado Campus,None,,,
100%,None,0,None,None,,,,,,,,,University of Phoenix-Southern Colorado Campus,None,,,
%,None,0,None,None,,,,,,,,,University of the Rockies,None,,,
100%,None,0,None,None,,,,,,,,,Utah College of Massage Therapy-Aurora,None,,,
100%,None,0,None,None,,,,,,,,,Utah College of Massage Therapy-Westminster,None,,,
91%,None,30,890-1120,19-25,47 Students rated on-campus housing 3.8 stars. 17 % gave the school a 5.0.,38 Students rated off-campus housing 3.7 stars. 0 % gave the school a 5.0.,49 Students rated campus food 2.4 stars. 6 % gave the school a 5.0.,51 Students rated campus facilities 4.1 stars. 37 % gave the school a 5.0.,51 Students rated class size 4.8 stars. 80 % gave the school a 5.0.,51 Students rated school activities 4 stars. 45 % gave the school a 5.0.,51 Students rated local services 4.1 stars. 49 % gave the school a 5.0.,51 Students rated academics 4.4 stars. 59 % gave the school a 5.0.,Western State Colorado University,,,,
56%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,1 Students rated campus food 3 stars. 0 % gave the school a 5.0.,9 Students rated campus facilities 3.8 stars. 33 % gave the school a 5.0.,9 Students rated class size 3.9 stars. 22 % gave the school a 5.0.,8 Students rated school activities 2.9 stars. 0 % gave the school a 5.0.,8 Students rated local services 3.9 stars. 50 % gave the school a 5.0.,9 Students rated academics 3.3 stars. 11 % gave the school a 5.0.,Westwood College-Denver North,,,,
76%,None,50,None,None,,,,,,,,,Westwood College-Denver South,None,,,
100%,None,100,None,None,,,,,,,,,Xenon International Academy-Denver,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Yeshiva Toras Chaim Talmudical Seminary,,,,
100%,None,100,None,None,,,,,,,,,Academy Di Capelli-School of Cosmetology,None,,,
100%,None,100,None,None,,,,,,,,,Ace Cosmetology and Barber Training Center,None,,,
%,None,50,None,None,,,,,,,,,Albert I Prince Technical High School,None,,,
100%,None,35,None,None,15 Students rated on-campus housing 3.6 stars. 20 % gave the school a 5.0.,10 Students rated off-campus housing 2.8 stars. 0 % gave the school a 5.0.,16 Students rated campus food 2.9 stars. 6 % gave the school a 5.0.,18 Students rated campus facilities 3.9 stars. 33 % gave the school a 5.0.,18 Students rated class size 4.7 stars. 78 % gave the school a 5.0.,18 Students rated school activities 3.2 stars. 28 % gave the school a 5.0.,18 Students rated local services 3.9 stars. 50 % gave the school a 5.0.,18 Students rated academics 3.7 stars. 33 % gave the school a 5.0.,Albertus Magnus College,,,,
100%,None,25,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,American Institute-West Hartford,,,,
100%,None,20,None,None,4 Students rated on-campus housing 2.3 stars. 25 % gave the school a 5.0.,2 Students rated off-campus housing 2.3 stars. 0 % gave the school a 5.0.,8 Students rated campus food 3.8 stars. 38 % gave the school a 5.0.,8 Students rated campus facilities 3.7 stars. 38 % gave the school a 5.0.,8 Students rated class size 5 stars. 100 % gave the school a 5.0.,7 Students rated school activities 3.8 stars. 29 % gave the school a 5.0.,8 Students rated local services 4.7 stars. 63 % gave the school a 5.0.,8 Students rated academics 4.5 stars. 75 % gave the school a 5.0.,Asnuntuck Community College,,,,
100%,None,175,None,None,,,,,,,,,Belle Academy of Cosmetology,None,,,
100%,None,150,None,None,,,,,,,,,Branford Academy of Hair and Cosmetology,None,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Branford Hall Career Institute-Branford Campus,,,,
100%,None,100,None,None,,,,,,,,,Branford Hall Career Institute-Southington Campus,None,,,
100%,None,100,None,None,,,,,,,,,Branford Hall Career Institute-Windsor Campus,None,,,
100%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Bridgeport Hospital School of Nursing,,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Brio Academy of Cosmetology-East Hartford,,,,
%,None,0,None,None,,,,,,,,,Brio Academy of Cosmetology-Enfield,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Brio Academy of Cosmetology-Meriden,,,,
%,None,0,None,None,,,,,,,,,Brio Academy of Cosmetology-New Haven,None,,,
%,None,0,None,None,,,,,,,,,Brio Academy of Cosmetology-Niantic,None,,,
%,None,0,None,None,,,,,,,,,Brio Academy of Cosmetology-Torrington,None,,,
%,None,0,None,None,,,,,,,,,Brio Academy of Cosmetology-Willimantic,None,,,
%,None,0,None,None,,,,,,,,,Brio Academy of Fairfield,None,,,
100%,None,50,None,None,,,,,,,,,Bristol Technical Education Center,None,,,
100%,None,50,None,None,,,,,,,,,Bullard-Havens Technical High School,None,,,
%,None,5,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Butler Business School Inc,,,,
100%,None,20,None,None,2 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4.3 stars. 0 % gave the school a 5.0.,5 Students rated campus food 4 stars. 60 % gave the school a 5.0.,5 Students rated campus facilities 4.5 stars. 40 % gave the school a 5.0.,5 Students rated class size 4.8 stars. 80 % gave the school a 5.0.,5 Students rated school activities 3 stars. 20 % gave the school a 5.0.,5 Students rated local services 4 stars. 40 % gave the school a 5.0.,5 Students rated academics 4 stars. 20 % gave the school a 5.0.,Capital Community College,,,,
60%,None,50,900-1100,19-24,105 Students rated on-campus housing 3.4 stars. 13 % gave the school a 5.0.,87 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,118 Students rated campus food 3 stars. 11 % gave the school a 5.0.,126 Students rated campus facilities 3.8 stars. 25 % gave the school a 5.0.,126 Students rated class size 4 stars. 33 % gave the school a 5.0.,126 Students rated school activities 3.8 stars. 27 % gave the school a 5.0.,127 Students rated local services 3.9 stars. 33 % gave the school a 5.0.,127 Students rated academics 3.9 stars. 28 % gave the school a 5.0.,Central Connecticut State University,,,,
100%,None,75,None,None,4 Students rated on-campus housing 3.5 stars. 25 % gave the school a 5.0.,3 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,4 Students rated campus food 3.3 stars. 25 % gave the school a 5.0.,4 Students rated campus facilities 4 stars. 50 % gave the school a 5.0.,4 Students rated class size 4.3 stars. 50 % gave the school a 5.0.,4 Students rated school activities 3.8 stars. 50 % gave the school a 5.0.,4 Students rated local services 3.8 stars. 50 % gave the school a 5.0.,4 Students rated academics 4.5 stars. 75 % gave the school a 5.0.,Charter Oak State College,,,,
